ProjectID,text,labels,processed_text,bigrams,trigrams,labels_num
1,The system shall refresh the display every 60 seconds.,NF,"['system', 'shall', 'refresh', 'display', 'second']","['system', 'shall', 'refresh', 'display', 'second']","['system', 'shall', 'refresh', 'display', 'second']",1
1,The application shall match the color of the schema set forth by Department of Homeland Security,NF,"['application', 'shall', 'match', 'color', 'schema', 'set', 'forth', 'department', 'homeland', 'security']","['application', 'shall', 'match', 'color', 'schema', 'set', 'forth', 'department', 'homeland', 'security']","['application', 'shall', 'match', 'color', 'schema', 'set', 'forth', 'department', 'homeland', 'security']",1
1, If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,NF,"['project', 'datum', 'readable', 'projection', 'screen', 'viewer', 'able', 'read', 'event', 'activity', 'datum', 'view', 'distance']","['project', 'datum', 'readable', 'projection', 'screen', 'viewer', 'able', 'read', 'event', 'activity', 'datum', 'view', 'distance']","['project', 'datum', 'readable', 'projection', 'screen', 'viewer', 'able', 'read', 'event', 'activity', 'datum', 'view', 'distance']",1
1, The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,NF,"['product', 'shall', 'available', 'normal', 'business', 'hour', 'long', 'user', 'access', 'client', 'system', 'available', 'time', 'month', 'operation']","['product', 'shall', 'available', 'normal', 'business', 'hour', 'long', 'user', 'access', 'client', 'system', 'available', 'time', 'month', 'operation']","['product', 'shall', 'available', 'normal', 'business', 'hour', 'long', 'user', 'access', 'client', 'system', 'available', 'time', 'month', 'operation']",1
1, If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,NF,"['project', 'datum', 'understandable', 'projection', 'screen', 'viewer', 'able', 'determine', 'events', 'activities', 'occur', 'current', 'time', 'view', 'distance']","['project', 'datum', 'understandable', 'projection', 'screen', 'viewer', 'able', 'determine', 'events', 'activities', 'occur', 'current', 'time', 'view', 'distance']","['project', 'datum', 'understandable', 'projection', 'screen', 'viewer', 'able', 'determine', 'events', 'activities', 'occur', 'current', 'time', 'view', 'distance']",1
1,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,NF,"['product', 'shall', 'ensure', 'access', 'authorize', 'user', 'product', 'able', 'distinguish', 'authorized', 'unauthorized', 'user', 'access', 'attempt']","['product', 'shall', 'ensure', 'access', 'authorize', 'user', 'product', 'able', 'distinguish', 'authorized', 'unauthorized', 'user', 'access', 'attempt']","['product', 'shall', 'ensure', 'access', 'authorize', 'user', 'product', 'able', 'distinguish', 'authorized', 'unauthorized', 'user', 'access', 'attempt']",1
1,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,NF,"['product', 'shall', 'intuitive', 'self', 'explanatory', 'new', 'user', 'shall', 'able', 'start', 'display', 'event', 'activities', 'minute', 'product']","['product', 'shall', 'intuitive', 'self', 'explanatory', 'new', 'user', 'shall', 'able', 'start', 'display', 'event', 'activities', 'minute', 'product']","['product', 'shall', 'intuitive', 'self', 'explanatory', 'new', 'user', 'shall', 'able', 'start', 'display', 'event', 'activities', 'minute', 'product']",1
1,The product shall respond fast to keep up-to-date data in the display.,NF,"['product', 'shall', 'respond', 'fast', 'date', 'datum', 'display']","['product', 'shall', 'respond', 'fast', 'date', 'datum', 'display']","['product', 'shall', 'respond', 'fast', 'date', 'datum', 'display']",1
1,The system shall have a MDI form that allows for the viewing of the graph and the data table.,F,"['system', 'shall', 'mdi', 'form', 'allow', 'view', 'graph', 'data', 'table']","['system', 'shall', 'mdi', 'form', 'allow', 'view', 'graph', 'data', 'table']","['system', 'shall', 'mdi', 'form', 'allow', 'view', 'graph', 'data', 'table']",0
1,The system shall display Events in a vertical table by time.,F,"['system', 'shall', 'display', 'event', 'vertical', 'table', 'time']","['system', 'shall', 'display', 'event', 'vertical', 'table', 'time']","['system', 'shall', 'display', 'event', 'vertical', 'table', 'time']",0
1,The system shall display the Events in a graph by time.,F,"['system', 'shall', 'display', 'events', 'graph', 'time']","['system', 'shall', 'display', 'events', 'graph', 'time']","['system', 'shall', 'display', 'events', 'graph', 'time']",0
1,The system shall display Events or Activities.,F,"['system', 'shall', 'display', 'event', 'activities']","['system', 'shall', 'display', 'event', 'activities']","['system', 'shall', 'display', 'event', 'activities']",0
1, The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,F,"['display', 'shall', 'region', 'leave', 'display', 'graphical', 'right', 'display', 'datum', 'table']","['display', 'shall', 'region', 'leave', 'display', 'graphical', 'right', 'display', 'datum', 'table']","['display', 'shall', 'region', 'leave', 'display', 'graphical', 'right', 'display', 'datum', 'table']",0
1,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,F,"['datum', 'display', 'node', 'graph', 'row', 'table', 'msel', 'summary', 'datum']","['datum', 'display', 'node', 'graph', 'row', 'table', 'msel', 'summary', 'datum']","['datum', 'display', 'node', 'graph', 'row', 'table', 'msel', 'summary', 'datum']",0
1,The table side of the display shall be split into 2 regions: sequential and temporal.,F,"['table', 'display', 'shall', 'split', 'region', 'sequential', 'temporal']","['table', 'display', 'shall', 'split', 'region', 'sequential', 'temporal']","['table', 'display', 'shall', 'split', 'region', 'sequential', 'temporal']",0
1,The top 1/4 of the table will hold events that are to occur sequentially.,F,"['table', 'hold', 'event', 'occur', 'sequentially']","['table', 'hold', 'event', 'occur', 'sequentially']","['table', 'hold', 'event', 'occur', 'sequentially']",0
1,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,F,"['table', 'hold', 'event', 'occur', 'accord', 'relevance', 'current', 'time']","['table', 'hold', 'event', 'occur', 'accord', 'relevance', 'current', 'time']","['table', 'hold', 'event', 'occur', 'accord', 'relevance', 'current', 'time']",0
1,The system shall color code events according to their variance from current time.,F,"['system', 'shall', 'color', 'code', 'event', 'accord', 'variance', 'current', 'time']","['system', 'shall', 'color', 'code', 'event', 'accord', 'variance', 'current', 'time']","['system', 'shall', 'color', 'code', 'event', 'accord', 'variance', 'current', 'time']",0
1,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,F,"['system', 'shall', 'display', 'datum', 'sync', 'matrix', 'exercise', 'management', 'tool', 'application']","['system', 'shall', 'display', 'datum', 'sync', 'matrix', 'exercise', 'management', 'tool', 'application']","['system', 'shall', 'display', 'datum', 'sync', 'matrix', 'exercise', 'management', 'tool', 'application']",0
1,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,F,"['system', 'shall', 'link', 'event', 'sync', 'matrix', 'exercise', 'managment', 'tool', 'application', 'modification']","['system', 'shall', 'link', 'event', 'sync', 'matrix', 'exercise', 'managment', 'tool', 'application', 'modification']","['system', 'shall', 'link', 'event', 'sync', 'matrix', 'exercise', 'managment', 'tool', 'application', 'modification']",0
1,The system shall allow modification of the display.,F,"['system', 'shall', 'allow', 'modification', 'display']","['system', 'shall', 'allow', 'modification', 'display']","['system', 'shall', 'allow', 'modification', 'display']",0
1,The system shall offer a display of all the Events in the exercise.,F,"['system', 'shall', 'offer', 'display', 'event', 'exercise']","['system', 'shall', 'offer', 'display', 'event', 'exercise']","['system', 'shall', 'offer', 'display', 'event', 'exercise']",0
1,The system shall filter data by: Venues and Key Events.,F,"['system', 'shall', 'filter', 'datum', 'venue', 'key', 'event']","['system', 'shall', 'filter', 'datum', 'venue', 'key', 'event']","['system', 'shall', 'filter', 'datum', 'venue', 'key', 'event']",0
1,The system shall allow a user to define the time segments,F,"['system', 'shall', 'allow', 'user', 'define', 'time', 'segment']","['system', 'shall', 'allow', 'user', 'define', 'time', 'segment']","['system', 'shall', 'allow', 'user', 'define', 'time', 'segment']",0
1,The system shall display the local and exercise time in separate clocks,F,"['system', 'shall', 'display', 'local', 'exercise', 'time', 'separate', 'clock']","['system', 'shall', 'display', 'local', 'exercise', 'time', 'separate', 'clock']","['system', 'shall', 'display', 'local', 'exercise', 'time', 'separate', 'clock']",0
1,The system shall offer the ability to pause and resume the refresh of data.,F,"['system', 'shall', 'offer', 'ability', 'pause', 'resume', 'refresh', 'data']","['system', 'shall', 'offer', 'ability', 'pause', 'resume', 'refresh', 'data']","['system', 'shall', 'offer', 'ability', 'pause', 'resume', 'refresh', 'data']",0
1,The system shall provide charts for the Activity or Event actual versus assumed time.,F,"['system', 'shall', 'provide', 'chart', 'activity', 'event', 'actual', 'versus', 'assume', 'time']","['system', 'shall', 'provide', 'chart', 'activity', 'event', 'actual', 'versus', 'assume', 'time']","['system', 'shall', 'provide', 'chart', 'activity', 'event', 'actual', 'versus', 'assume', 'time']",0
1,The system shall provide a history report of changes made to the Activity or Event data,F,"['system', 'shall', 'provide', 'history', 'report', 'change', 'activity', 'event', 'datum']","['system', 'shall', 'provide', 'history', 'report', 'change', 'activity', 'event', 'datum']","['system', 'shall', 'provide', 'history', 'report', 'change', 'activity', 'event', 'datum']",0
2,The look and feel of the system shall conform to the user interface standards of the smart device.,NF,"['look', 'feel', 'system', 'shall', 'conform', 'user', 'interface', 'standard', 'smart', 'device']","['look', 'feel', 'system', 'shall', 'conform', 'user', 'interface', 'standard', 'smart', 'device']","['look', 'feel', 'system', 'shall', 'conform', 'user', 'interface', 'standard', 'smart', 'device']",1
2, The user interface shall have standard menus  buttons for navigation,NF,"['user', 'interface', 'shall', 'standard', 'menus', 'button', 'navigation']","['user', 'interface', 'shall', 'standard', 'menus', 'button', 'navigation']","['user', 'interface', 'shall', 'standard', 'menus', 'button', 'navigation']",1
2,The system shall have a professional appearance,NF,"['system', 'shall', 'professional', 'appearance']","['system', 'shall', 'professional', 'appearance']","['system', 'shall', 'professional', 'appearance']",1
2,The product shall have a consistent color scheme and fonts.,NF,"['product', 'shall', 'consistent', 'color', 'scheme', 'font']","['product', 'shall', 'consistent', 'color', 'scheme', 'font']","['product', 'shall', 'consistent', 'color', 'scheme', 'font']",1
2,The system shall be used by realtors with no training.,NF,"['system', 'shall', 'realtor', 'training']","['system', 'shall', 'realtor', 'training']","['system', 'shall', 'realtor', 'training']",1
